type	publication_id	pubmed_id	id	study.id
publication	pub_2	27143256	3e178299-bf24-52b7-9574-db714e1df9fa	ef4cfd5d-2f49-50a1-9a19-3485fb198937
publication	pub_1	26941285	9f116800-b1af-5245-a436-6d8c75ab1f4c	ef4cfd5d-2f49-50a1-9a19-3485fb198937
publication	pub_4	29227476	bec6fb01-905a-5e04-b045-1ba73eb6e083	ef4cfd5d-2f49-50a1-9a19-3485fb198937
publication	pub_3	29068783	dc259eea-775f-5e13-988f-ca102e8c212d	ef4cfd5d-2f49-50a1-9a19-3485fb198937
publication	pub_6	36123353	e318a17d-f81f-5f9e-809e-71a7abfeb63d	ef4cfd5d-2f49-50a1-9a19-3485fb198937
publication	pub_5	30760869	f4fabab7-bcdc-5ae1-a529-140d5fc03931	ef4cfd5d-2f49-50a1-9a19-3485fb198937
